Date/Time UTC,Name,MMSI,Max Speed kn,Mean Speed kn,LOA ft,Beam ft,Vessel Class,AIS Type,Course,Heading,Course Behavior,Yaw deg,Effective Beam ft,WDIR degT,WSPD mph,GST mph,Location,Latitude,Longitude,Transit,Condition,% Channel Occupied
2020-12-19 14:33:44,OOCL BERLIN,477203100,16.0,11.8,1200.0,157.0,Post-Panamax,70,299,301,Inbound,2,199,40.0,13.42,20.13,Offshore,32.66748,-79.69434,One-way Transit,Non-adverse Condition,24.88
2020-12-19 02:40:48,SAFMARINE BAYETE,477211100,15.8,15.4,731.0,105.0,Panamax,71,119,116,Outbound,3,143,,,,Nearshore,32.69787,-79.75878,One-way Transit,Non-adverse Condition,14.3
2020-12-19 16:01:48,CMA CGM CHILE,215346000,15.4,14.9,1200.0,167.0,Post-Panamax,70,119,118,Outbound,1,188,50.0,13.42,17.9,Offshore,32.65431,-79.66689,One-way Transit,Non-adverse Condition,23.5
2020-12-19 14:20:50,CMA CGM J. MADISON,215137000,15.1,13.6,1200.0,157.0,Post-Panamax,71,298,298,Inbound,0,157,40.0,15.66,20.13,Offshore,32.6782,-79.71665,One-way Transit,Non-adverse Condition,19.62
2020-12-19 01:59:07,WISTERIA ACE,636016420,15.1,14.5,656.0,105.0,Panamax,70,120,117,Outbound,3,139,,,,Nearshore,32.69497,-79.75185,One-way Transit,Non-adverse Condition,13.9
2020-12-19 08:22:43,CPO HAMBURG,636092947,14.2,13.2,1096.0,141.0,Post-Panamax,71,121,118,Outbound,3,198,,,,Nearshore,32.71983,-79.80678,Two-way Transit,Adverse Condition,49.5
2020-12-19 14:50:25,ST LOUIS EXPRESS,367136680,14.2,13.2,797.0,105.0,Panamax,79,299,302,Inbound,3,147,30.0,13.42,20.13,Offshore,32.65795,-79.67417,One-way Transit,Non-adverse Condition,14.7
2020-12-19 08:12:23,MOL COURAGE,431296000,13.8,13.5,1036.0,151.0,Post-Panamax,71,300,302,Inbound,2,187,40.0,15.66,20.13,Offshore,32.65564,-79.66959,Two-way Transit,Adverse Condition,46.75
2020-12-18 12:17:37,HYUNDAI PRIDE,441486000,16.9,16.1,1200.0,157.0,Post-Panamax,70,118,118,Outbound,0,157,340.0,15.66,22.37,Offshore,32.64903,-79.65503,One-way Transit,Non-adverse Condition,19.62
2020-12-18 15:24:28,CMA CGM CHILE,215346000,16.3,15.3,1200.0,167.0,Post-Panamax,70,299,299,Inbound,0,167,360.0,17.9,22.37,Offshore,32.68965,-79.74099,One-way Transit,Non-adverse Condition,20.88
2020-12-18 08:15:50,CPO HAMBURG,636092947,16.2,15.2,1096.0,141.0,Post-Panamax,71,300,299,Inbound,1,160,320.0,17.9,24.61,Offshore,32.68996,-79.74131,One-way Transit,Non-adverse Condition,20.0
2020-12-18 16:31:40,COSCO PHILIPPINES,477738200,15.5,14.2,1096.0,141.0,Post-Panamax,72,119,118,Outbound,1,160,50.0,15.66,22.37,Nearshore,32.70266,-79.76835,One-way Transit,Non-adverse Condition,20.0
2020-12-18 03:33:58,WISTERIA ACE,636016420,13.7,13.4,656.0,105.0,Panamax,70,299,297,Inbound,2,128,,,,Nearshore,32.72284,-79.8106,One-way Transit,Non-adverse Condition,12.8
2020-12-18 10:57:30,SAFMARINE BAYETE,477211100,10.2,7.6,731.0,105.0,Panamax,71,298,301,Inbound,3,143,,,,Nearshore,32.71451,-79.79399,One-way Transit,Non-adverse Condition,14.3
2020-12-17 18:43:50,ARC INDEPENDENCE,338794000,17.9,15.1,748.0,105.0,Panamax,79,122,123,Outbound,1,118,350.0,4.47,11.18,Nearshore,32.72166,-79.80966,One-way Transit,Non-adverse Condition,11.8
